Time (s),Amplitude
0.045125,0.007874
0.045170,0.011688
0.045215,0.009308
0.045261,-0.005310
0.045306,-0.020203
0.045351,-0.019348
0.045397,-0.005829
0.045442,0.008667
0.045488,0.016968
0.045533,0.014709
0.045578,0.000916
0.045624,-0.016357
0.045669,-0.022369
0.045714,-0.011749
0.045760,0.003906
0.045805,0.012543
0.045850,0.012787
0.045896,0.005249
0.045941,-0.009003
0.045986,-0.019775
0.046032,-0.016113
0.046077,-0.001221
0.046122,0.012390
0.046168,0.015350
0.046213,0.007019
0.046259,-0.001495
0.046304,-0.003723
0.046349,-0.005768
0.046395,-0.004089
0.046440,0.007324
0.046485,0.013580
0.046531,0.005951
0.046576,0.000061
0.046621,0.001373
0.046667,0.000214
0.046712,-0.001709
0.046757,0.000732
0.046803,0.002045
0.046848,-0.000519
0.046893,-0.001373
0.046939,0.002899
0.046984,0.008209
0.047029,0.007111
0.047075,0.000671
0.047120,-0.002136
0.047166,-0.001617
0.047211,-0.002289
0.047256,0.001404
0.047302,0.010345
0.047347,0.012268
0.047392,0.004120
0.047438,-0.003052
0.047483,-0.004608
0.047528,-0.003815
0.047574,-0.000702
0.047619,0.004395
0.047664,0.007477
0.047710,0.005157
0.047755,-0.001099
0.047800,-0.004364
0.047846,-0.002167
0.047891,-0.000214
0.047937,0.000488
0.047982,0.003082
0.048027,0.003906
0.048073,0.000580
0.048118,-0.000916
0.048163,0.001465
0.048209,0.002258
0.048254,-0.000519
0.048299,-0.002747
0.048345,-0.001831
0.048390,-0.000366
0.048435,0.000427
0.048481,0.002899
0.048526,0.005402
0.048571,0.001617
0.048617,-0.007324
0.048662,-0.011261
0.048707,-0.006165
0.048753,0.000732
0.048798,0.004883
0.048844,0.006561
0.048889,0.003754
0.048934,-0.003693
0.048980,-0.010223
0.049025,-0.009918
0.049070,-0.002136
0.049116,0.006134
0.049161,0.007446
0.049206,0.003571
0.049252,-0.000397
0.049297,-0.004913
0.049342,-0.007874
0.049388,-0.004181
0.049433,0.002960
0.049478,0.006836
0.049524,0.005890
0.049569,0.001221
0.049615,-0.002411
0.049660,-0.002319
0.049705,-0.002045
0.049751,0.000397
0.049796,0.006439
0.049841,0.007172
0.049887,0.001648
0.049932,0.000336
0.049977,0.002869
0.050023,0.002319
0.050068,0.000427
0.050113,-0.001862
0.050159,-0.006897
0.050204,-0.007996
0.050249,0.000641
0.050295,0.010590
0.050340,0.012390
0.050385,0.006348
0.050431,-0.004578
0.050476,-0.016449
0.050522,-0.019623
0.050567,-0.006317
0.050612,0.015320
0.050658,0.026642
0.050703,0.018799
0.050748,-0.000641
0.050794,-0.018158
0.050839,-0.024261
0.050884,-0.014587
0.050930,0.009949
0.050975,0.036591
0.051020,0.041504
0.051066,0.012909
0.051111,-0.023590
